"Nome do projeto","Prof Didática"
"Intervalo de datas","03/01/2025 00:00 - 05/19/2025 23:59"


"URL visitada corresponde ao regex","^https://lp\.profdidatica\.com\.br/projeto-literario(\?.*)?$"

"URL","^https://lp\.profdidatica\.com\.br/projeto-literario(\?.*)?$"
"Exibições de página","21713"


"Métrica","AreaMap"

"Área","Número de cliques","Taxa de cliques (CTR)"
"SEUS ALUNOS VÃO DISPUTAR QUEM LÊ MAIS, SEM VOCÊ PRECISAR MONTAR NADA!","138","1,05%"
"Aplique uma missão literária pronta para engajar até os alunos que não gostam de ler. Economize tempo, traga leveza para a sua rotina e veja sua turma lendo mais e com entusiasmo.","4","0,03%"
"📚
▫▫ missões literárias envolventes","41","0,31%"
"QUERO MEUS ALUNOS APAIXONADOS PELA LEITURA","3565","27,04%"
"📈
Tabela de acompanhamento de leitura","7","0,05%"
"Veja abaixo uma amostra de como são as missões literárias:","21","0,16%"
"▫▫ missões literárias envolventes","7","0,05%"
"Dois modelos de Leitômetro para gamificação","10","0,08%"
"Guia de aplicação passo a passo","2","0,02%"
"QUERO MEUS ALUNOS APAIXONADOS PELA LEITURA","26","0,20%"
"O QUE NINGUÉM VÊ POR TRÁS DE UMA SALA DESMOTIVADA","10","0,08%"
"Você entra na sala com tudo pronto. O livro foi escolhido com carinho, a atividade pensada nos mínimos detalhes. Há uma expectativa silenciosa de que, dessa vez, seus alunos se envolvam com a leitura.

Mas assim que a aula começa, a realidade bate. Metade da turma nem abriu o livro. A outra metade finge que leu. E só dois ou três tentam participar.

Você respira fundo, disfarça a frustração e tenta seguir com a aula. Mas lá dentro, vem a mesma sensação de sempre: o esforço não valeu.

Às vezes, o que pesa não é a aula. É a sensação de estar sozinha.

Porque não é a primeira vez. Você já tentou de tudo: leituras em grupo, resumos, dinâmicas criativas. Mas no fim, a conexão simplesmente não acontece.

E o que dói de verdade não é a aula que não funcionou. É a dúvida que vem depois:

"Será que eu ainda estou fazendo diferença?"

Porque você ama ensinar. Mas às vezes, no fundo, começa a duvidar se está sendo ouvida. Se vale a pena todo o esforço. Se algum aluno vai, de fato, lembrar do que você tentou fazer com tanto cuidado.

A verdade é que o problema não está em você. E a solução não está em tentar mais uma atividade aleatória, sozinha.

✨ O que faltava era um sistema leve, pronto e motivador, que torne a leitura parte da rotina com significado. Um caminho onde o aluno se sente envolvido e o professor… realizado.","85","0,64%"
"Seus alunos pedindo pra contar o que leram, disputando pra ser o próximo a apresentar, e você apenas acompanhando tudo com gratidão e leveza.
💭","6","0,05%"
