"Nome do projeto","Prof Didática"
"Intervalo de datas","03/01/2025 00:00 - 05/19/2025 23:59"


"URL visitada corresponde ao regex","^https://lp\.profdidatica\.com\.br/projeto-literario(\?.*)?$"

"URL","^https://lp\.profdidatica\.com\.br/projeto-literario(\?.*)?$"
"Exibições de página","21713"


"Métrica","AttentionMap"

"Profundidade de rolagem","Tempo médio gasto","% da duração da sessão"
"5","00:00:29","10.48%"
"10","00:00:29","10.52%"
"15","00:00:08","2.91%"
"20","00:00:03","1.26%"
"25","00:00:08","2.86%"
"30","00:00:08","3.17%"
"35","00:00:02","1.04%"
"40","00:00:05","1.98%"
"45","00:00:09","3.44%"
"50","00:00:08","2.88%"
"55","00:00:11","4.26%"
"60","00:00:11","4.17%"
"65","00:00:08","3.14%"
"70","00:00:18","6.42%"
"75","00:00:24","8.73%"
"80","00:00:08","3.13%"
"85","00:00:07","2.68%"
"90","00:00:14","5.02%"
"95","00:00:30","10.96%"
"100","00:00:30","10.94%"
