"Nome do projeto","Prof Didática"
"Intervalo de datas","03/01/2025 00:00 - 05/19/2025 23:59"


"URL visitada corresponde ao regex","^https://lp\.profdidatica\.com\.br/projeto-literario(\?.*)?$"

"URL","^https://lp\.profdidatica\.com\.br/projeto-literario(\?.*)?$"
"Exibições de página","21713"


"Métrica","ScrollMap"

"Profundidade de rolagem","Número de visitantes","% de visitantes"
"5","16029","73.8221342053148"
"10","13425","61.829318841247186"
"15","11428","52.63206374061622"
"20","7148","32.92037028508267"
"25","5553","25.574540597798556"
"30","4719","21.733523695481967"
"35","4134","19.039285220835446"
"40","3649","16.80560033159858"
"45","3339","15.377884216828628"
"50","3047","14.033067747432415"
"55","2827","13.019849859531158"
"60","2634","12.130981439690508"
"65","2474","11.394095703035049"
"70","2344","10.795376042002488"
"75","2210","10.17823423755354"
"80","2095","9.648597614332427"
"85","2002","9.22028277990144"
"90","1871","8.616957583014784"
"95","1744","8.032054529544512"
"100","1094","5.038456224381707"
